H_index	name	kind	address	phone	room	facility	S_index	grade	price	O_index
26	도도풀빌라3펜션	민박	경기도 가평군 상면 행현리 589-2	010-2948-9123	21	바베큐, 수영장	2	3	251715	3
27	오카나간	민박	경기도 가평군 설악면 가일리 258-2	010-4856-0701	21	바베큐, 수영장, 카페, 산책로	2	4	267705	3
28	또올레펜션1	민박	경기도 가평군 조종면 신상리 262-6	010-8921-5493	22	바베큐	2	1	288617	3
29	노블레스	민박	경기도 가평군 가평읍  복장리 228-2	010-1572-0492	21	수영장, 카페	2	4	218823	3
30	쿨펜션	민박	경기도 가평군 북면 이곡리 605-15	010-6746-5085	27	바베큐, 수영장, 카페, 산책로	2	4	135186	3
31	아망떼	민박	경기도 가평군 북면 화악리 99	010-5819-7902	24	수영장, 카페, 탁구장 	2	1	238749	4
32	AD646펜션	민박	경기도 가평군 가평읍 승안리 646-3	010-0545-6658	21	수영장, 카페	2	3	147090	4
33	그랑도랑	민박	경기도 가평군 북면 적목리 266	010-6577-4796	24	바베큐, 수영장, 카페, 산책로, 탁구장 	2	5	106732	4
34	시간이 머무는 곳	민박	경기도 가평군 북면 도대리 426	010-6980-3723	25	바베큐, 수영장	2	1	274872	4
35	안젤로	민박	경기도 가평군 북면 도대리 324-14	010-4008-8905	24	바베큐, 수영장, 카페, 산책로	2	4	116198	4
36	춘향이와 방자	민박	경기도 가평군 북면 목동리 318-10	010-7120-8604	26	바베큐	2	1	100324	4
37	아다마스	민박	경기도 가평군 상면 상동리 288	010-2422-7570	22	수영장, 카페	2	5	102787	4
38	파란하늘빛 펜션	민박	경기도 가평군 상면 행현리 660-10	010-9005-6620	26	바베큐, 수영장, 카페, 산책로	2	3	249004	4
39	토마토 펜션	민박	경기도 가평군 북면 적목리 487-1	010-6110-4394	24	수영장, 카페, 탁구장 	2	4	239729	4
40	늘푸른펜션	민박	경기도 가평군 청평면 대성리 526-2	010-1834-7163	22	바베큐, 수영장	2	4	139008	4
41	휘펜션	민박	경기도 가평군 조종면 상판리 143-1	010-5918-1870	22	바베큐, 수영장, 카페, 산책로	2	3	190006	5
42	뜨레모아	민박	경기도 가평군 북면 제령리 534-16	010-9122-8573	24	바베큐	2	2	226596	5
43	하늘마루	민박	경기도 가평군 북면 적목리 300-3	010-0285-8175	22	수영장, 카페	2	3	277150	5
44	제이슨	민박	경기도 가평군 북면 제령리 535-1	010-9571-0046	23	바베큐, 수영장, 카페, 산책로	2	1	203631	5
45	보랏빛향기	민박	경기도 가평군 상면 행현리 592	010-7196-4152	25	수영장, 카페, 탁구장 	2	5	253119	5
46	아트루	민박	경기도 가평군 청평면 호명리 162-10 외 1필지	010-9200-6467	25	수영장, 카페	2	4	146794	5
47	부엉재 주말농원	민박	경기도 가평군 설악면 엄소리 27	010-7264-4512	22	바베큐, 수영장, 카페, 산책로, 탁구장 	2	2	58957	5
48	하늘다리 시즌 2	민박	경기도 가평군 북면 백둔리 381	010-4711-3673	25	바베큐, 수영장	2	5	244222	5
49	모데르노	민박	경기도 가평군 상면 행현리 540-3	010-3087-0284	26	바베큐, 수영장, 카페, 산책로	2	1	51295	5
50	샤갈의마을	민박	경기도 가평군 청평면 고성리 115	010-8110-2931	22	바베큐	2	5	260903	5
51	강여울 스파 펜션	민박	경기도 가평군 가평읍 금대리 55-115	010-5767-7809	23	수영장, 카페	2	1	112529	6
52	엘리시아펜션	민박	경기도 가평군 조종면 운악리 426-15	010-8894-2454	24	바베큐, 수영장	2	3	297519	6
53	아테네 펜션	민박	경기도 가평군 상면 행현리 668-1	010-4206-4090	26	바베큐, 수영장, 카페, 산책로	2	1	178682	6
54	호명펜션	민박	경기도 가평군 청평면 상천리 1513-1	010-2713-2348	25	바베큐	2	5	210468	6
55	철수생각	민박	경기도 가평군 북면 적목리 454-1	010-5070-5484	22	수영장, 카페	2	2	60399	6
56	듀크하우스	민박	경기도 가평군 청평면 대성리 362-10	010-4329-8360	23	바베큐, 수영장, 카페, 산책로	2	4	158331	6
57	아름뜰	민박	경기도 가평군 청평면 호명리 45	010-3427-6840	24	수영장, 카페, 탁구장 	2	5	220112	6
58	제이스	민박	경기도 가평군 북면 제령리 515-1	010-0438-1775	25	수영장, 카페	2	1	53347	6
59	시를 쓰는 오리	민박	경기도 가평군 청평면 청평리 728-5	010-2833-2743	24	바베큐, 수영장, 카페, 산책로, 탁구장 	2	4	93959	6
60	뜨라제	민박	경기도 가평군 청평면 고성리 53	010-4924-8053	24	바베큐, 수영장	2	4	211111	6
61	버디하우스	민박	경기도 가평군 청평면 고성리 164-2	010-3254-2490	22	바베큐, 수영장, 카페, 산책로	2	4	180487	7
62	세실리아	민박	경기도 가평군 가평읍 두밀리 2-19	010-2134-9135	24	바베큐	2	4	51631	7
63	보니따	민박	경기도 가평군 상면 행현리 481-24	010-5188-3097	26	수영장, 카페	2	1	205919	7
64	클라우드	민박	경기도 가평군 북면 적목리 553-7	010-8991-5644	22	바베큐, 수영장, 카페, 산책로	2	1	119186	7
65	별빛	민박	경기도 가평군 설악면 회곡리 17	010-2862-2643	22	수영장, 카페, 탁구장 	2	3	223193	7
66	아이디 펜션	민박	경기도 가평군 가평읍 두밀리 2-26	010-5397-8379	25	바베큐, 수영장	2	3	260741	7
67	봄	민박	경기도 가평군 북면  제령리 569-1	010-7111-0165	24	바베큐, 수영장, 카페, 산책로	2	4	191400	7
68	삼정골	민박	경기도 가평군 상면 연하리 407-1	010-5970-8149	22	바베큐	2	4	289588	7
69	아도니스1	민박	경기도 가평군 상면 행현리 603	010-2625-1464	24	수영장, 카페	2	3	157646	7
70	연인산테라스	민박	경기도 가평군 가평읍 승안리 271-1	010-6200-7635	25	바베큐, 수영장, 카페, 산책로	2	3	59793	7
71	하늘숲	민박	경기도 가평군 북면 목동리 648-2	010-6549-3331	26	수영장, 카페, 탁구장 	2	2	221427	8
72	제스벨리팬션	민박	경기도 가평군 북면 도대리 310-11	010-8748-3334	22	수영장, 카페	2	5	148134	8
73	용문하우스	민박	경기도 가평군 설악면 사룡리 543	010-2889-9879	22	바베큐, 수영장, 카페, 산책로, 탁구장 	2	1	260072	8
74	연인산테라스	민박	경기도 가평군 가평읍 승안리 271-2	010-9040-4598	25	바베큐, 수영장	2	2	201269	8
75	독박골대청마루	민박	경기도 가평군 상면 행현리 224-2	010-5591-2432	21	바베큐, 수영장, 카페, 산책로	2	5	196429	8
76	청평다온펜션	민박	경기도 가평군 청평면 청평리 100-1	010-5975-8148	24	바베큐	2	1	175108	8
77	선녀와 나무꾼의 힐하우스	민박	경기도 가평군 설악면 가일리 46-1	010-6969-3857	25	수영장, 카페	2	3	173776	8
78	용추계곡 뜰	민박	경기도 가평군 가평읍 승안리 402	010-4891-2050	25	바베큐, 수영장	2	2	291008	8
79	꽃뜰	민박	경기도 가평군 가평읍 두밀리 215-8	010-1326-4982	23	바베큐, 수영장, 카페, 산책로	2	3	214189	8
80	네잎클로버	민박	경기도 가평군 설악면 가일리 215-25	010-7847-3361	22	바베큐	2	1	224249	8
81	황토민박	민박	경기도 가평군 북면 백둔리 15	010-4526-3414	21	수영장, 카페	2	2	249490	9
82	솔낭구펜션투	민박	경기도 가평군 북면  백둔리 594	010-1248-9136	22	바베큐, 수영장, 카페, 산책로	2	5	208028	9
83	라망	민박	경기도 가평군 북면 제령리 565	010-4333-3916	24	수영장, 카페, 탁구장 	2	4	266831	9
84	금대민박	민박	경기도 가평군 가평읍 금대리 306-6	010-7585-0094	22	수영장, 카페	2	1	112239	9
85	푸른숲계곡산방	민박	경기도 가평군 북면 화악리 1076-1	010-3443-8404	24	바베큐, 수영장, 카페, 산책로, 탁구장 	2	4	180376	9
86	블루문펜션2	민박	경기도 가평군 상면 행현리 621-6	010-9227-4249	22	바베큐, 수영장	2	2	107021	9
87	디제이 뭉	민박	경기도 가평군 설악면 신천리 633	010-8527-8648	24	바베큐, 수영장, 카페, 산책로	2	2	233297	9
88	여우가 달을 사랑할?	민박	경기도 가평군 가평읍 두밀리 590-1	010-4858-3215	22	바베큐	2	4	191451	9
89	리즈밸리	민박	경기도 가평군 설악면 가일리 40	010-1803-5018	23	수영장, 카페	2	5	103993	9
90	펜션 1.618	민박	경기도 가평군 설악면 가일리 279-5	010-9634-5635	26	바베큐, 수영장, 카페, 산책로	2	3	159124	9
91	별원	민박	경기도 가평군 북면 제령리 622-12(A동)	010-3299-9763	22	수영장, 카페, 탁구장 	2	2	260934	10
92	플로레스타	민박	경기도 가평군 가평읍 개곡리 641-3	010-8257-9332	23	바베큐, 수영장	2	1	159533	10
93	그랜드밸리	민박	경기도 가평군 조종면 운악리 278-6	010-7915-3007	24	바베큐, 수영장, 카페, 산책로	2	1	202431	10
94	여미지	민박	경기도 가평군 설악면 회곡리 241-5(C동)	010-0174-3188	23	바베큐	2	5	137268	10
95	하늘아래펜션2	민박	경기도 가평군 설악면 가일리 124	010-3681-1639	21	수영장, 카페	2	4	136668	10
96	라포레2	민박	경기도 가평군 설악면 회곡리 244-3	010-6323-0385	22	바베큐, 수영장, 카페, 산책로	2	1	262903	10
97	레브몽	민박	경기도 가평군 조종면 상판리 187-17	010-9999-5864	21	수영장, 카페, 탁구장 	2	4	282158	10
98	리버웨이브2	민박	경기도 가평군 청평면 삼회리 102-3	010-9056-9032	22	수영장, 카페	2	5	225008	10
99	리버웨이브4	민박	경기도 가평군 청평면 삼회리 102-17	010-0180-9683	22	바베큐, 수영장, 카페, 산책로, 탁구장 	2	1	124938	10
100	이노센트 리	민박	경기도 가평군 가평읍 하색리 758-23	010-4541-2346	22	바베큐, 수영장	2	5	180395	10
101	청암산장	민박	경기도 가평군 조종면 상판리 474-14	010-1214-7624	25	바베큐, 수영장, 카페, 산책로	2	5	129646	11
102	휴아일랜드	민박	경기도 가평군 가평읍 하색리 778-3	010-4623-3994	26	바베큐	2	4	187563	11
103	에벤에셀	민박	경기도 가평군 가평읍 읍내리 76-3	010-2381-8420	22	수영장, 카페	2	1	296459	11
104	노리터 펜션	민박	경기도 가평군 상면 행현리 581-5	010-2337-2542	23	바베큐, 수영장	2	4	241763	11
105	아모르미오	민박	경기도 가평군 북면 제령리 534-17	010-3929-7523	24	바베큐, 수영장, 카페, 산책로	2	3	153417	11
106	예담소	민박	경기도 가평군 설악면 가일리 36	010-0331-4583	22	바베큐	2	2	292856	11
107	코스모스펜션	민박	경기도 가평군 설악면 미사리 470-1	010-9300-2302	22	수영장, 카페	2	1	292084	11
108	시간이 멈춘마을	민박	경기도 가평군 청평면 상천리 715-5	010-1678-4097	24	바베큐, 수영장, 카페, 산책로	2	3	202329	11
109	여울펜션	민박	경기도 가평군 설악면 회곡리 28-2	010-7376-8152	25	수영장, 카페, 탁구장 	2	2	135526	11
110	앳더몬	민박	경기도 가평군 상면 원흥리 515-2	010-1117-1856	23	수영장, 카페	2	5	289898	11
111	흙집펜션	민박	경기도 가평군 가평읍 하색리 701-16	010-8869-6062	22	바베큐, 수영장, 카페, 산책로, 탁구장 	2	3	179693	12
112	메이데이	민박	경기도 가평군 북면 제령리 543-5	010-1117-2769	25	바베큐, 수영장	2	4	209201	12
113	보니타펜션	민박	경기도 가평군 청평면 삼회리 567-1	010-0022-8319	22	바베큐, 수영장, 카페, 산책로	2	5	277614	12
114	아르노펜션	민박	경기도 가평군 설악면 회곡리 247-1	010-9697-2155	25	바베큐	2	4	150925	12
115	리더스펜션	민박	경기도 가평군 청평면 고성리 578-7	010-2040-0452	25	수영장, 카페	2	2	185010	12
116	펜션레몬	민박	경기도 가평군 가평읍 읍내리 98-5	010-0727-6327	26	바베큐, 수영장, 카페, 산책로	2	4	289890	12
117	옹달샘펜션	민박	경기도 가평군 설악면 가일리 226-5	010-1695-8174	25	수영장, 카페, 탁구장 	2	5	79556	12
118	가평펜션별빛가람	민박	경기도 가평군 가평읍 승안리 238	010-8870-0878	22	바베큐, 수영장	2	3	236819	12
119	강변의 추억	민박	경기도 가평군 청평면 삼회리 95-9	010-4800-4804	27	바베큐, 수영장, 카페, 산책로	2	1	253651	12
120	숲향	민박	경기도 가평군 청평면 상천리 129	010-6745-8933	23	바베큐	2	1	276628	12
121	에코피아펜션	민박	경기도 가평군 북면 적목리 485-1	010-1049-3620	24	수영장, 카페	2	3	181725	13
122	두리개펜션	민박	경기도 가평군 상면 행현리 540	010-2272-4088	24	바베큐, 수영장, 카페, 산책로	2	2	102805	13
123	시트린펜션	민박	경기도 가평군 상면 임초리 522-4	010-7327-0103	24	수영장, 카페, 탁구장 	2	1	209300	13
124	연인민박	민박	경기도 가평군 북면 백둔리 364-8	010-4511-2861	24	수영장, 카페	2	5	198481	13
125	아침에 눈 뜨면	민박	경기도 가평군 상면 행현리 622-10	010-2426-3258	26	바베큐, 수영장, 카페, 산책로, 탁구장 	2	4	88065	13
126	동그라미펜션	민박	경기도 가평군 가평읍 승안리 226	010-8394-2522	23	바베큐, 수영장	2	4	226934	13
127	화악산풍경펜션	민박	경기도 가평군 북면 화악리 791	010-3763-3911	23	바베큐, 수영장, 카페, 산책로	2	5	97681	13
128	유니크펜션	민박	경기도 가평군 가평읍 산유리 430	010-7244-5012	24	바베큐	2	1	89052	13
129	솔잎향기펜션	민박	경기도 가평군 조종면 현리 117-13	010-9938-7595	24	수영장, 카페	2	1	83354	13
130	그린비	민박	경기도 가평군 상면 행현리 152	010-6700-9527	25	바베큐, 수영장	2	2	153779	13
131	명지산아래촌	민박	경기도 가평군 북면 도대리 239-1	010-6486-0967	23	바베큐, 수영장, 카페, 산책로	2	4	298005	14
132	탑 펜션	민박	경기도 가평군 북면 적목리 322	010-1570-8572	22	바베큐	2	4	52427	14
133	샘이플	민박	경기도 가평군 가평읍 개곡리 294	010-9864-1002	22	수영장, 카페	2	1	249094	14
134	라비에팬션	민박	경기도 가평군 조종면 운악리 426-18	010-3176-1307	25	바베큐, 수영장, 카페, 산책로	2	2	183532	14
135	가평소나무팬션	민박	경기도 가평군 상면 덕현리 20-7	010-1636-3560	23	수영장, 카페, 탁구장 	2	5	163561	14
136	르보아펜션	민박	경기도 가평군 조종면 운악리 83-8	010-8980-9424	24	수영장, 카페	2	4	293275	14
137	뉴캐슬	민박	경기도 가평군 북면 제령리 604-2	010-4609-7808	27	바베큐, 수영장, 카페, 산책로, 탁구장 	2	2	108630	14
138	호호	민박	경기도 가평군 북면 백둔리 638-5	010-2449-9090	24	바베큐, 수영장	2	4	267411	14
139	산울로레져	민박	경기도 가평군 설악면 미사리 10-3	010-8098-5353	25	바베큐, 수영장, 카페, 산책로	2	2	279314	14
140	에비뉴	민박	경기도 가평군 북면 도대리 526-2	010-4741-3214	24	바베큐	2	2	229493	14
141	나무의꿈	민박	경기도 가평군 가평읍 승안리 310	010-5911-9300	27	수영장, 카페	2	2	116913	15
142	러브앤스토리	민박	경기도 가평군 조종면 운악리 426-19	010-3595-6895	25	바베큐, 수영장, 카페, 산책로	2	1	246651	15
143	하늘빛풍경	민박	경기도 가평군 상면 행현리 222-21	010-2320-1532	22	수영장, 카페, 탁구장 	2	5	106332	15
144	우드캐슬	민박	경기도 가평군 청평면 대성리 360-11	010-3984-0330	24	바베큐, 수영장	2	3	79866	15
145	베네치아	민박	경기도 가평군 북면 백둔리 495-1	010-2931-5037	23	바베큐, 수영장, 카페, 산책로	2	3	245209	15
146	숲속의 공주	민박	경기도 가평군 가평읍 복장리 250-1	010-5384-6597	24	바베큐	2	5	218622	15
147	스타일	민박	경기도 가평군 상면 행현리 435-4	010-6180-8797	26	수영장, 카페	2	3	121347	15
148	별이내리는집	민박	경기도 가평군 상면 임초리 429-9	010-4054-7087	23	바베큐, 수영장, 카페, 산책로	2	4	100504	15
149	스위트몽	민박	경기도 가평군 상면 행현리 222-5	010-5820-2850	25	수영장, 카페, 탁구장 	2	2	100043	15
150	시은팬션	민박	경기도 가평군 북면 백둔리 197-4	010-2425-7056	26	수영장, 카페	2	1	281164	15
151	모짜르트팬션	민박	경기도 가평군 청평면 대성리 430-11	010-7909-7984	23	바베큐, 수영장, 카페, 산책로, 탁구장 	2	2	129306	16
152	사계절펜션	민박	경기도 가평군 청평면 대성리 572-1	010-4128-5038	22	바베큐, 수영장	2	2	178634	16
153	드가 펜션	민박	경기도 가평군 상면  행현리 513-13	010-6996-1090	22	바베큐, 수영장, 카페, 산책로	2	1	87132	16
154	일상탈출	민박	경기도 가평군 북면 목동리 821	010-0539-6819	24	바베큐	2	3	243523	16
155	청평 몽마르뜨펜션	민박	경기도 가평군 상면 덕현리 329-2(1동)	010-8188-9582	23	수영장, 카페	2	5	72656	16
156	아실리 펜션	민박	경기도 가평군 상면 상동리 41-4(A동)	010-1956-3222	25	바베큐, 수영장	2	5	254051	16
157	써니힐펜션	민박	경기도 가평군 청평면 상천리 53-5	010-2775-1698	22	바베큐, 수영장, 카페, 산책로	2	2	190046	16
158	힐스토리2	민박	경기도 가평군 청평면 호명리 143-172(B동)	010-4351-4751	24	바베큐	2	4	152497	16
159	라온2	민박	경기도 가평군 청평면 호명리 344-6(D동)	010-1876-2972	23	수영장, 카페	2	5	103472	16
160	산과들에	민박	경기도 가평군 가평읍 금대리 833-15	010-1099-7508	23	바베큐, 수영장, 카페, 산책로	2	1	202764	16
161	산들바람	민박	경기도 가평군 가평읍 금대리 833-14	010-3117-7652	23	수영장, 카페, 탁구장 	2	4	167876	17
162	아름	민박	경기도 가평군 조종면 운악리 425-4	010-3365-2666	24	수영장, 카페	2	2	268159	17
163	더 휴(B)	민박	경기도 가평군 가평읍 달전리 150	010-3849-9410	25	바베큐, 수영장, 카페, 산책로, 탁구장 	2	3	285550	17
164	아이리스펜션2	민박	경기도 가평군 가평읍 하색리 770-1	010-1780-5919	22	바베큐, 수영장	2	4	142553	17
165	행복한 정원	민박	경기도 가평군 가평읍 산유리 742-2	010-5484-9708	23	바베큐, 수영장, 카페, 산책로	2	3	231842	17
166	보니따1	민박	경기도 가평군 상면 행현리 481-23	010-4090-8987	23	바베큐	2	5	130294	17
167	호수풍경	민박	경기도 가평군 청평면 고성리 720-19	010-3348-5150	21	수영장, 카페	2	4	138050	17
168	풀꽃펜션	민박	경기도 가평군 가평읍 하색리 771-6	010-2918-5719	24	바베큐, 수영장, 카페, 산책로	2	3	177084	17
169	가람슬기2	민박	경기도 가평군 가평읍 금대리 564-20(2동)	010-1929-5375	23	수영장, 카페, 탁구장 	2	3	274411	17
170	플로스민박	민박	경기도 가평군 조종면 신상리 511	010-3313-2393	23	바베큐, 수영장	2	3	95993	17
171	채록지펜션2	민박	경기도 가평군 상면 행현리 622-6(A동)	010-1220-8080	23	바베큐, 수영장, 카페, 산책로	2	2	54177	18
172	테라스엔 별이3	민박	경기도 가평군 상면 행현리 533	010-1876-2546	21	바베큐	2	5	168475	18
173	FLEXHAUS	민박	경기도 가평군 설악면 선촌리 101-6	010-2618-2047	21	수영장, 카페	2	5	163864	18
174	산마루	민박	경기도 가평군 청평면 상천리 1522-4	010-8290-9029	23	바베큐, 수영장, 카페, 산책로	2	2	117743	18
175	로만스빌리지	민박	경기도 가평군 북면 제령리 633-1	010-0708-8400	25	수영장, 카페, 탁구장 	2	1	102472	18
176	가평아이리스풀빌라	민박	경기도 가평군 가평읍 하색리 770-1	010-3621-0611	22	수영장, 카페	2	1	89177	18
177	스카이정원	민박	경기도 가평군 청평면 호명리 176-3	010-1175-1844	25	바베큐, 수영장, 카페, 산책로, 탁구장 	2	2	170754	18
178	남이섬 아델라	민박	경기도 가평군 가평읍 이화리 52-7	010-3891-4478	22	바베큐, 수영장	2	2	285280	18
179	웨스티 애견 펜션	민박	경기도 가평군 가평읍 두밀리 366-1	010-8512-9276	25	바베큐, 수영장, 카페, 산책로	2	5	74201	18
180	세이지	민박	경기도 가평군 가평읍 하색리 779-17	010-6865-1351	27	바베큐	2	1	97520	18
181	오발트	민박	경기도 가평군 설악면 송산리 1286-1	010-5090-5006	23	수영장, 카페	2	4	117545	19
182	가평모닝필하우스	민박	경기도 가평군 상면 덕현리 332	010-7477-7873	23	바베큐, 수영장	2	1	175219	19
183	천상지애	민박	경기도 가평군 가평읍 경반리 583-19	010-5458-7645	24	바베큐, 수영장, 카페, 산책로	2	3	194224	19
184	숲속의하얀집	민박	경기도 가평군 가평읍 개곡리 110-2	010-4468-0875	21	바베큐	2	1	198917	19
185	하늘산책펜션	민박	경기도 가평군 가평읍 금대리 139-18	010-5158-9923	25	수영장, 카페	2	4	278323	19
186	삼오 빌리지	민박	경기도 가평군 조종면 신하리 373-10	010-8133-3430	23	바베큐, 수영장, 카페, 산책로	2	1	191731	19
187	디파우제	민박	경기도 가평군 조종면 신하리 373-11	010-5210-6625	23	수영장, 카페, 탁구장 	2	2	263442	19
188	모닝힐	민박	경기도 가평군 청평면 대성리 90-19	010-7642-4210	24	수영장, 카페	2	4	152416	19
189	별마루 펜션	민박	경기도 가평군 상면 덕현리 162-61	010-5647-4036	21	바베큐, 수영장, 카페, 산책로, 탁구장 	2	5	250757	19
190	준	민박	경기도 가평군 가평읍 금대리 285-5	010-1377-5475	21	바베큐, 수영장	2	5	127104	19
191	곰사냥을떠나자	민박	경기도 가평군 북면 백둔리 88-3	010-9555-0052	25	바베큐, 수영장, 카페, 산책로	2	3	68686	20
192	우리꽃사랑	민박	경기도 가평군 북면 이곡리 533-1	010-0893-5339	22	바베큐	2	4	234387	20
193	아이린	민박	경기도 가평군 상면 임초리 35-7	010-7625-4913	21	수영장, 카페	2	2	210225	20
194	영인팬션	민박	경기도 가평군 북면 백둔리 362-2	010-0352-2332	28	바베큐, 수영장, 카페, 산책로	2	2	83561	20
195	청우산방	민박	경기도 가평군 청평면 하천리 425	010-6735-3012	23	수영장, 카페, 탁구장 	2	5	64418	20
196	박하사탕	민박	경기도 가평군 가평읍 이화리 326-2	010-2358-7116	26	바베큐, 수영장	2	2	273392	20
197	보보	민박	경기도 가평군 상면 임초리 123-4	010-2116-0065	23	바베큐, 수영장, 카페, 산책로	2	1	251811	20
198	클럽아이	민박	경기도 가평군 가평읍 이화리 41-13	010-0850-3640	24	바베큐	2	1	289051	20
199	가평우리펜션	민박	경기도 가평군 북면 제령리 648-1	010-6212-2034	24	수영장, 카페	2	3	73612	20
200	알프스펜션	민박	경기도 가평군 설악면 가일리 196	010-2917-6859	23	바베큐, 수영장, 카페, 산책로	2	4	71055	20
201	산들바람	민박	경기도 가평군 북면 목동리  281	010-6293-4660	21	수영장, 카페, 탁구장 	2	1	231400	21
202	달빛정원	민박	경기도 가평군 상면 임초리 620-3	010-9341-6257	25	수영장, 카페	2	4	264463	21
203	라임오렌지밸리	민박	경기도 가평군 북면 도대리 368	010-6032-3751	23	바베큐, 수영장, 카페, 산책로, 탁구장 	2	1	71774	21
204	레드펜션	민박	경기도 가평군 가평읍 하색리 778-28	010-8397-4852	26	바베큐, 수영장	2	4	284055	21
205	쥬얼리 펜션	민박	경기도 가평군 가평읍 두밀리 2-16	010-4425-3134	26	바베큐, 수영장, 카페, 산책로	2	1	210000	21
206	몬트샤인 Ⅰ	민박	경기도 가평군 설악면 회곡리 244-4	010-8804-9719	26	바베큐	2	3	260314	21
207	산속의하얀집	민박	경기도 가평군 청평면 고성리  680	010-4626-2494	21	수영장, 카페	2	1	74726	21
208	버블버블펜션	민박	경기도 가평군 가평읍 마장리 61-14	010-4372-3374	25	바베큐, 수영장	2	3	219076	21
209	리버마운틴	민박	경기도 가평군 북면 제령리 291-3	010-0629-9152	26	바베큐, 수영장, 카페, 산책로	2	1	183989	21
210	엘린펜션	민박	경기도 가평군 가평읍 금대리 286-3	010-5251-4605	26	바베큐	2	1	78150	21
211	강변스케치	민박	경기도 가평군 가평읍 금대리 535-3	010-5933-1581	27	수영장, 카페	2	5	164843	22
212	아띠랑스	민박	경기도 가평군 북면 목동리 311-2	010-6693-2481	22	바베큐, 수영장, 카페, 산책로	2	2	92605	22
213	산장의아침	민박	경기도 가평군 상면 임초리  588-3	010-0547-7867	25	수영장, 카페, 탁구장 	2	3	206718	22
214	피에스	민박	경기도 가평군 가평읍 두밀리 2-32	010-6167-7671	25	수영장, 카페	2	3	242358	22
215	초콜렛	민박	경기도 가평군 가평읍 복장리 342-5	010-8188-0366	27	바베큐, 수영장, 카페, 산책로, 탁구장 	2	5	124082	22
216	유니온민박	민박	경기도 가평군 청평면 청평리 102	010-1186-8112	24	바베큐, 수영장	2	1	255908	22
