R_index	checkin	checkout	h_index	u_index
199	2019-08-11	2019-10-15	13674	28
200	2019-07-19	2019-10-16	8552	35
201	2019-07-16	2019-10-23	5164	9
202	2019-07-05	2019-07-21	1916	16
203	2019-07-29	2019-08-08	2308	18
204	2019-07-07	2019-09-20	14780	24
205	2019-07-20	2019-08-04	12968	34
206	2019-08-23	2019-09-05	2082	1
207	2019-07-15	2019-08-19	11190	45
208	2019-07-11	2019-10-19	16321	10
209	2019-07-20	2019-08-24	4232	42
210	2019-08-30	2019-11-29	1131	2
211	2019-08-22	2019-09-05	2901	45
212	2019-08-01	2019-08-03	14413	26
213	2019-07-26	2019-08-22	8552	28
214	2019-07-21	2019-08-05	281	25
215	2019-08-20	2019-10-14	5342	38
216	2019-07-10	2019-07-13	5052	30
217	2019-07-29	2019-10-09	16575	39
218	2019-08-06	2019-08-29	9685	22
219	2019-08-04	2019-11-05	3610	10
220	2019-07-08	2019-08-25	3272	47
221	2019-07-20	2019-08-24	6621	33
222	2019-08-26	2019-10-23	7097	41
223	2019-08-26	2019-10-01	792	12
224	2019-07-23	2019-09-15	4391	24
225	2019-07-15	2019-10-07	10426	2
226	2019-07-07	2019-08-21	4148	48
227	2019-07-20	2019-10-13	4869	22
228	2019-07-30	2019-10-21	11064	6
229	2019-08-02	2019-10-04	889	15
230	2019-07-25	2019-09-24	9751	32
231	2019-07-10	2019-09-18	7601	24
232	2019-08-30	2019-09-25	13916	17
233	2019-08-25	2019-11-06	7821	3
234	2019-08-01	2019-08-20	16673	35
235	2019-07-19	2019-08-21	16069	25
236	2019-07-20	2019-09-29	13808	46
237	2019-08-29	2019-09-11	11653	25
238	2019-08-31	2019-09-11	558	10
239	2019-08-27	2019-11-17	8720	14
240	2019-07-27	2019-10-21	10910	1
241	2019-07-13	2019-10-05	7422	16
242	2019-07-09	2019-08-31	5881	8
243	2019-08-21	2019-09-09	9509	28
244	2019-08-13	2019-11-03	7748	3
245	2019-07-20	2019-10-01	14892	5
246	2019-09-01	2019-09-16	1547	34
247	2019-07-26	2019-10-04	8858	10
248	2019-08-27	2019-11-06	663	17
249	2019-07-23	2019-10-31	13392	28
250	2019-08-03	2019-10-06	9898	38
251	2019-08-02	2019-10-09	15582	46
252	2019-07-19	2019-08-13	798	13
253	2019-07-20	2019-08-01	10869	17
254	2019-08-28	2019-10-15	15800	11
255	2019-08-26	2019-11-01	8981	24
256	2019-07-05	2019-09-27	5560	42
257	2019-07-23	2019-09-18	2048	43
258	2019-08-14	2019-11-04	1116	21
259	2019-08-09	2019-10-07	4050	37
260	2019-08-15	2019-10-13	4339	27
261	2019-07-22	2019-10-14	12731	35
262	2019-08-03	2019-11-02	15790	37
263	2019-07-19	2019-07-24	9846	42
264	2019-09-02	2019-10-30	5642	48
265	2019-08-12	2019-10-19	11798	13
266	2019-08-03	2019-08-16	8890	18
267	2019-07-08	2019-08-30	13251	30
268	2019-08-19	2019-10-09	5483	4
269	2019-07-18	2019-08-12	14860	15
270	2019-08-25	2019-09-04	11092	11
271	2019-09-01	2019-09-29	494	15
272	2019-08-26	2019-10-17	4159	32
273	2019-07-23	2019-08-02	11430	36
274	2019-08-23	2019-09-13	13000	22
275	2019-07-05	2019-07-06	7646	32
276	2019-09-03	2019-12-08	14701	23
277	2019-08-03	2019-08-05	10391	5
278	2019-08-31	2019-11-15	9119	6
279	2019-07-08	2019-09-16	10780	9
280	2019-07-07	2019-07-15	10486	22
281	2019-08-20	2019-10-18	14706	38
282	2019-08-15	2019-11-17	15446	14
283	2019-07-09	2019-10-15	11037	19
284	2019-08-04	2019-10-29	7408	25
285	2019-07-16	2019-07-20	485	6
286	2019-08-19	2019-10-21	15788	39
287	2019-08-08	2019-08-10	8404	50
288	2019-07-16	2019-10-12	16331	1
289	2019-07-09	2019-10-16	5833	40
290	2019-07-27	2019-10-18	1015	27
291	2019-08-11	2019-10-05	14410	8
292	2019-07-23	2019-10-07	10512	17
293	2019-07-19	2019-08-28	12535	4
294	2019-08-09	2019-09-08	13443	17
295	2019-07-14	2019-07-20	2189	21
296	2019-07-24	2019-08-13	14474	13
297	2019-08-14	2019-09-02	14747	14
298	2019-08-17	2019-09-22	7367	27
299	2019-08-05	2019-09-24	14926	29
300	2019-08-24	2019-11-09	13712	6
301	2019-07-28	2019-08-24	14086	12
302	2019-07-29	2019-10-23	11622	35
303	2019-07-22	2019-08-06	7571	23
304	2019-08-02	2019-09-05	8179	50
305	2019-09-01	2019-09-28	6063	33
306	2019-07-21	2019-09-18	12050	4
307	2019-07-07	2019-09-01	16199	23
308	2019-08-10	2019-08-20	4447	1
309	2019-08-29	2019-10-11	319	27
310	2019-08-29	2019-09-26	15813	49
311	2019-08-16	2019-09-04	5909	44
312	2019-08-27	2019-10-19	4354	15
313	2019-07-15	2019-08-04	633	25
314	2019-09-03	2019-11-30	16213	26
315	2019-07-31	2019-08-03	15220	20
316	2019-08-08	2019-09-16	9612	43
317	2019-07-11	2019-10-07	12847	41
318	2019-08-11	2019-09-12	4344	32
319	2019-07-24	2019-10-15	10375	10
320	2019-07-23	2019-08-16	15203	24
321	2019-07-15	2019-09-12	6043	16
322	2019-08-26	2019-11-15	10143	43
323	2019-08-19	2019-11-26	16402	7
324	2019-09-01	2019-11-08	1744	34
325	2019-07-30	2019-08-04	7447	12
326	2019-08-30	2019-12-06	10788	37
327	2019-08-31	2019-10-01	1669	31
328	2019-08-28	2019-09-03	14182	25
329	2019-08-03	2019-08-12	13724	32
330	2019-08-02	2019-10-20	15339	43
331	2019-08-10	2019-09-21	12027	11
332	2019-07-27	2019-09-18	330	37
333	2019-07-13	2019-07-26	4094	12
334	2019-07-27	2019-11-03	2881	9
335	2019-07-24	2019-08-19	14213	14
336	2019-09-02	2019-10-01	3639	41
337	2019-07-30	2019-11-06	13124	8
338	2019-07-12	2019-09-07	11716	7
339	2019-08-05	2019-09-27	4906	1
340	2019-07-20	2019-08-01	15738	19
341	2019-08-24	2019-09-05	13316	14
342	2019-07-21	2019-09-14	12728	13
343	2019-07-11	2019-07-16	981	1
344	2019-08-25	2019-10-20	10686	5
345	2019-07-07	2019-08-24	6440	33
346	2019-08-27	2019-10-01	7084	20
347	2019-08-30	2019-12-03	3424	9
348	2019-07-16	2019-08-16	14897	24
349	2019-08-02	2019-08-23	11330	32
350	2019-07-31	2019-08-08	6442	36
351	2019-08-21	2019-11-09	11885	3
352	2019-08-26	2019-10-14	15281	30
353	2019-08-27	2019-11-20	4956	32
354	2019-07-30	2019-08-23	3193	30
355	2019-07-06	2019-08-05	3223	38
356	2019-07-09	2019-07-31	10613	50
357	2019-07-17	2019-08-26	12235	13
358	2019-07-26	2019-10-09	2951	42
359	2019-07-22	2019-10-19	10178	11
360	2019-08-04	2019-09-24	16417	20
361	2019-08-30	2019-10-18	13516	31
362	2019-08-29	2019-10-05	9768	22
363	2019-07-10	2019-07-20	8014	10
364	2019-08-18	2019-10-08	11309	10
365	2019-08-13	2019-09-08	7564	44
366	2019-07-30	2019-10-10	4668	37
367	2019-08-22	2019-11-05	12091	46
368	2019-08-08	2019-10-09	8012	48
369	2019-08-21	2019-09-19	15328	36
370	2019-08-08	2019-09-24	13212	9
371	2019-09-01	2019-09-25	13470	50
372	2019-07-16	2019-08-18	4086	18
373	2019-07-19	2019-08-16	7153	36
374	2019-07-18	2019-08-22	6166	10
375	2019-07-05	2019-10-01	8637	48
376	2019-07-09	2019-09-28	6680	36
377	2019-08-15	2019-09-28	9254	27
378	2019-07-29	2019-08-28	8126	15
379	2019-07-12	2019-08-19	10232	14
380	2019-07-14	2019-08-29	7906	14
381	2019-08-10	2019-10-05	12507	23
382	2019-08-27	2019-10-17	15003	27
383	2019-08-24	2019-10-03	6717	10
384	2019-08-21	2019-09-14	10490	27
385	2019-07-07	2019-08-08	14885	25
386	2019-07-07	2019-08-15	2666	21
387	2019-08-25	2019-11-08	12722	20
388	2019-08-21	2019-10-18	10380	8
389	2019-08-14	2019-11-13	7396	33
390	2019-09-01	2019-12-06	14716	10
391	2019-07-06	2019-09-19	11881	7
392	2019-08-03	2019-09-10	1938	30
393	2019-08-28	2019-10-01	12159	4
394	2019-07-29	2019-09-11	2746	5
395	2019-08-27	2019-10-25	6342	20
396	2019-08-08	2019-11-09	11131	28
397	2019-08-11	2019-10-23	10466	15
398	2019-08-31	2019-09-07	11330	12
399	2019-07-26	2019-09-02	5343	7
400	2019-08-27	2019-10-24	10943	20
401	2019-07-22	2019-10-26	1896	49
402	2019-08-08	2019-09-18	6875	2
403	2019-08-19	2019-10-16	5289	42
404	2019-08-06	2019-11-07	13857	34
405	2019-08-25	2019-08-30	4185	32
406	2019-07-06	2019-08-08	759	47
407	2019-07-17	2019-07-28	4391	41
408	2019-07-25	2019-09-06	8454	17
409	2019-08-10	2019-11-08	10147	27
410	2019-07-05	2019-10-12	6039	12
411	2019-08-03	2019-10-16	9863	39
412	2019-07-10	2019-07-31	14980	16
413	2019-07-05	2019-08-04	2179	21
414	2019-08-11	2019-09-07	11306	13
415	2019-08-19	2019-10-18	16284	18
416	2019-08-31	2019-10-17	16255	39
417	2019-08-18	2019-10-23	1323	3
418	2019-09-01	2019-11-16	4700	31
419	2019-07-21	2019-07-26	15591	17
420	2019-08-11	2019-08-24	16333	27
421	2019-07-22	2019-08-27	2507	39
422	2019-08-25	2019-11-27	573	40
423	2019-08-31	2019-11-07	6623	18
424	2019-08-20	2019-11-22	16499	34
425	2019-08-13	2019-10-06	6222	1
426	2019-08-10	2019-11-12	2601	34
427	2019-08-20	2019-11-28	6447	25
428	2019-07-07	2019-08-27	9604	38
429	2019-08-30	2019-11-17	4840	40
430	2019-07-14	2019-09-17	1844	10
431	2019-07-05	2019-09-04	9503	50
432	2019-07-27	2019-10-25	16230	34
433	2019-07-22	2019-07-23	13734	29
434	2019-07-08	2019-07-11	5821	19
435	2019-08-13	2019-10-14	9258	13
436	2019-08-26	2019-09-16	16633	28
437	2019-07-20	2019-08-01	10250	11
438	2019-07-17	2019-09-24	1752	2
439	2019-07-09	2019-08-18	3597	7
440	2019-08-01	2019-09-13	13777	14
441	2019-07-06	2019-09-05	15611	14
442	2019-07-23	2019-09-20	979	22
443	2019-08-12	2019-09-08	11162	34
444	2019-07-29	2019-08-16	16445	34
445	2019-08-11	2019-09-26	13693	8
446	2019-08-14	2019-08-19	9071	47
447	2019-08-30	2019-09-15	15403	10
448	2019-09-02	2019-09-12	12521	30
449	2019-08-14	2019-11-17	13703	37
450	2019-07-22	2019-08-04	14093	2
451	2019-08-01	2019-08-24	10160	18
452	2019-08-22	2019-11-02	3158	40
453	2019-08-12	2019-08-27	11046	23
454	2019-08-29	2019-11-20	4417	8
455	2019-08-02	2019-09-23	3945	50
456	2019-08-06	2019-09-23	3399	49
457	2019-08-22	2019-09-19	6585	49
458	2019-08-12	2019-11-07	10932	11
459	2019-08-06	2019-08-22	4525	39
460	2019-08-25	2019-08-31	10469	45
461	2019-08-22	2019-08-24	651	2
462	2019-08-28	2019-10-03	6057	13
463	2019-07-27	2019-09-25	12765	12
464	2019-08-13	2019-08-17	3014	24
465	2019-07-08	2019-09-29	9829	46
466	2019-07-20	2019-10-04	6710	20
467	2019-07-05	2019-09-09	7905	2
468	2019-08-25	2019-10-21	1898	22
469	2019-07-09	2019-07-14	13560	5
470	2019-07-23	2019-09-27	14039	39
471	2019-07-16	2019-10-24	13702	17
472	2019-08-15	2019-11-23	4006	40
473	2019-07-08	2019-07-18	12531	15
474	2019-08-10	2019-08-11	12288	35
475	2019-07-31	2019-09-19	7560	22
476	2019-07-21	2019-09-14	7229	3
477	2019-07-21	2019-08-14	5375	13
478	2019-08-23	2019-10-05	2088	37
479	2019-08-10	2019-11-15	832	20
480	2019-07-12	2019-08-27	808	22
481	2019-07-25	2019-08-22	12621	46
482	2019-07-21	2019-08-24	10708	35
483	2019-08-31	2019-10-02	4208	35
484	2019-08-23	2019-09-14	10446	44
485	2019-07-06	2019-07-22	6661	43
486	2019-08-25	2019-10-23	12019	31
487	2019-07-29	2019-09-10	13466	24
488	2019-07-08	2019-08-26	5888	4
489	2019-08-22	2019-11-12	6087	46
490	2019-07-26	2019-10-25	7136	48
491	2019-08-06	2019-10-31	16643	21
492	2019-07-18	2019-09-23	6039	4
493	2019-08-27	2019-11-24	8096	9
494	2019-07-27	2019-08-13	12356	3
495	2019-08-10	2019-10-04	7185	44
496	2019-08-24	2019-10-31	688	1
497	2019-07-22	2019-08-24	5080	48
498	2019-07-11	2019-08-14	5519	2
499	2019-08-20	2019-09-03	893	4
500	2019-08-14	2019-09-19	5241	31
501	2019-07-22	2019-08-24	5080	48
502	2019-07-22	2019-08-24	1	48
503	2019-07-22	2019-08-24	2	48
504	2019-07-22	2019-08-24	3	48
505	2019-07-22	2019-08-24	4	48
506	2019-07-22	2019-08-24	5	48
507	2019-07-22	2019-08-24	6	48
508	2019-07-22	2019-08-24	7	48
509	2019-07-22	2019-08-24	8	48
510	2019-07-22	2019-08-24	9	48
511	2019-07-22	2019-08-24	10	48
512	2019-07-22	2019-08-24	1	48
513	2019-07-22	2019-08-24	2	48
514	2019-07-22	2019-08-24	3	48
515	2019-07-22	2019-08-24	4	48
516	2019-07-22	2019-08-24	5	48
517	2019-07-22	2019-08-24	6	48
518	2019-07-22	2019-08-24	7	48
519	2019-07-22	2019-08-24	8	48
520	2019-07-22	2019-08-24	9	48
521	2019-07-22	2019-08-24	1	48
522	2019-07-22	2019-08-24	2	48
523	2019-07-22	2019-08-24	3	48
524	2019-07-22	2019-08-24	4	48
525	2019-07-22	2019-08-24	5	48
526	2019-07-22	2019-08-24	6	48
527	2019-07-22	2019-08-24	7	48
528	2019-07-22	2019-08-24	8	48
529	2019-07-22	2019-08-24	9	48
530	2019-07-22	2019-08-24	10	48
531	2019-07-22	2019-08-24	1	48
532	2019-07-22	2019-08-24	1	48
533	2019-07-22	2019-08-24	1	48
534	2019-07-22	2019-08-24	3	48
535	2019-07-22	2019-08-24	3	48
536	2019-07-22	2019-08-24	5	48
537	2019-07-22	2019-08-24	5	48
538	2019-07-22	2019-08-24	5	48
539	2019-07-22	2019-08-24	6	48
