f_index	h_index	u_index	alarm
350	7733	39	1
351	8802	44	1
352	4960	1	0
353	11499	22	0
354	16332	47	1
355	4508	13	1
356	2037	41	0
357	9371	34	0
358	5143	35	1
359	6768	27	1
360	8795	49	0
361	1543	45	1
362	15508	31	0
363	3505	14	1
364	1201	47	1
365	6242	5	1
366	9967	37	0
367	4332	2	0
368	4644	25	1
369	5102	23	1
370	13992	3	0
371	4722	12	1
372	7540	10	1
373	8332	13	0
374	4919	2	0
375	15568	24	0
376	12187	18	0
377	5260	49	0
378	6907	9	0
379	12998	17	1
380	4876	20	0
381	1036	42	0
382	1191	27	0
383	7754	34	0
384	15954	37	0
385	9077	14	1
386	12272	25	1
387	4434	43	1
388	6372	50	1
389	4640	22	0
390	6412	50	1
391	5983	15	1
392	14345	3	1
393	1191	9	1
394	16541	13	0
395	15338	22	1
396	4895	37	1
397	13809	37	0
398	16302	40	1
399	13226	44	0
400	10997	9	0
401	11548	5	0
402	15382	19	0
403	7666	9	0
404	14187	3	0
405	16387	8	0
406	11401	24	0
407	10763	35	0
408	13646	35	1
409	8936	36	0
410	12127	42	0
411	2481	43	0
412	9331	21	0
413	1559	4	1
414	4731	7	1
415	14224	46	1
416	15405	10	1
417	5307	27	1
418	13837	17	0
419	8070	42	0
420	7851	28	0
421	15180	40	1
422	2064	17	0
423	12288	40	0
424	10789	35	0
425	6567	33	1
426	5267	44	0
427	7914	23	1
428	4157	30	1
429	14307	8	1
430	15146	42	1
431	6749	39	1
432	8549	28	0
433	1668	22	1
434	4510	31	1
435	6758	36	1
436	7100	20	1
437	4659	26	1
438	7426	16	0
439	9642	29	0
440	8850	12	1
441	10365	49	1
442	380	26	1
443	14012	25	1
444	1855	20	0
445	10420	19	0
446	4516	43	1
447	14313	48	1
448	14987	42	0
449	15463	8	1
450	4300	36	0
451	11140	36	0
452	54	12	0
453	6129	49	0
454	15646	22	1
455	5332	16	1
456	5555	45	0
457	765	37	0
458	5564	42	0
459	14585	2	0
460	13556	5	0
461	5603	1	1
462	13808	42	0
463	12479	20	0
464	5603	9	1
465	13449	18	1
466	16434	35	1
467	1842	22	1
468	4612	43	0
469	9966	50	1
470	10996	37	1
471	10409	35	1
472	962	15	0
473	8895	16	1
474	4014	32	0
475	7028	2	1
476	7324	25	1
477	85	28	1
478	3566	12	0
479	9119	35	0
480	10288	25	1
481	3822	20	0
482	13454	5	1
483	8265	17	0
484	3487	3	0
485	9426	19	1
486	10525	3	1
487	2816	49	1
488	9774	7	0
489	13204	13	0
490	2108	44	1
491	9224	14	0
492	11856	20	1
493	6878	32	0
494	15521	30	0
495	13422	36	0
496	15452	15	1
497	1936	49	0
498	10207	19	0
499	9330	8	0
500	15694	12	1
