번호	이름	주소	등급	요금
73	베니키아 양산 호텔	경상남도 양산시 동면 금오10길 51	3	71818
74	호텔 리베라 거제	경상남도 거제시 일운면 거제대로 2190	3	66496
75	통영 베이 호텔	경상남도 통영시 도남로 257-93	3	39775
76	크라운 호텔	경상남도 창원시 의창구 창원대로363번길 22-5	4	56107
77	한산 호텔	경상남도 통영시 통영해안로 247	3	54536
78	아르누보 스위트 호텔	경상남도 거제시 장평1로 13	2	74166
79	뉴그랜드 호텔	경상남도 진주시 에나로 97	3	54545
80	켄싱턴 호텔 지리산 하동	경상남도 하동군 화개면 쌍계로 532-6	3	74455
81	마리나베이	경기도 김포시 아라육로 152번길	5	81818
82	용인 센트럴 코업 호텔	경기도 용인시 처인구 중부대로 1216	4	49587
83	라마다 용인 호텔	경기도 용인시 처인구 포곡읍 마성로 420	4	80083
84	라마다 프라자 수원 호텔	경기도 수원시 팔달구 중부대로 150	4	100000
85	분당 메이트 호텔	경기도 성남시 분당구 황새울로 355번길 7	2	81074
86	롤링힐스 호텔	경기도 화성시 남양읍 시청로 290	4	186000
87	에덴 파라다이스 호텔	경기도 이천시 마장면 서이천로 449-81	4	89862
88	신라스테이 동탄	경기도 화성시 노작로 161	3	91000
89	라마다 앙코르 김포 한강호텔	경기도 김포시 고천은 아라육로 169	4	88864
90	라까사호텔 광명	경기도 광명시 일직로12번길 22	4	85715
91	신라스테이 울산	울산광역시 남구 삼산로 200	3	70000
92	롯데 시티 호텔 울산	울산광역시 남구 삼산로 204	3	68000
93	울산 시티 호텔	울산광역시 남구 삼산로 246	2	54545
94	호텔 리버사이드 울산	울산광역시 중구 젊음의거리 20	3	59091
95	스타즈 호텔 울산점	울산광역시 남구 남중로 65	3	60818
96	호텔 다움	울산광역시 중구 번영로 538	4	50000
97	호텔 현대 울산	울산광역시 동구 방어진순환도로 875	5	101653
98	머큐어 앰배서더 울산	울산광역시 북구 강동산하2로 7	4	99000
99	오션뷰 호텔	울산광역시 동구 해수욕장1길 50	3	59091
100	호텔 노바	울산광역시 북구 진장2길 26	3	41322
