reservation_code	weddinghall_index	reservation_personnel	weddingtype_index	mealtype_index	album	letter	dress	date	pay
20041016	16	100	5	2	0	0	0	2020-04-10	0
20041128	28	240	3	1	1	0	0	2020-04-11	1
20041208	8	150	9	3	1	1	1	2020-04-12	0
20041314	14	170	1	3	0	0	1	2020-04-13	1
20041406	6	290	5	1	0	1	0	2020-04-14	1
20041515	15	120	9	3	0	1	1	2020-04-15	1
20041645	45	120	7	3	1	0	1	2020-04-16	1
20041736	36	420	1	1	1	1	1	2020-04-17	0
20041836	36	270	1	1	0	0	1	2020-04-18	1
20041914	14	190	1	3	1	1	0	2020-04-19	1
20042038	38	290	7	3	0	1	0	2020-04-20	1
20042116	16	200	5	2	0	0	1	2020-04-21	1
20042213	13	100	9	3	0	1	1	2020-04-22	0
20042329	29	140	9	2	0	1	1	2020-04-23	1
20042403	3	100	2	2	1	1	0	2020-04-24	1
20042514	14	100	1	3	1	0	0	2020-04-25	0
20042605	5	120	9	1	0	0	0	2020-04-26	0
20042707	7	180	10	1	1	1	0	2020-04-27	1
20042805	5	250	9	1	0	1	1	2020-04-28	0
20042904	4	280	2	2	1	0	0	2020-04-29	1
20043037	37	170	2	2	0	0	0	2020-04-30	1
20050143	43	470	4	3	1	1	1	2020-05-01	0
20050220	20	330	8	3	0	0	0	2020-05-02	1
20050346	46	110	2	3	1	1	1	2020-05-03	1
20050412	12	320	8	3	0	0	0	2020-05-04	0
20050537	37	140	2	2	1	0	0	2020-05-05	0
19101145	45	150	7	3	0	0	0	2019-10-11	0
19101210	10	100	9	1	1	1	1	2019-10-12	1
19101324	24	190	9	3	1	0	0	2019-10-13	1
19101405	5	190	9	1	1	0	0	2019-10-14	1
19101528	28	120	3	1	1	1	1	2019-10-15	1
19101733	33	150	5	2	1	0	1	2019-10-17	0
19101814	14	100	1	3	0	1	1	2019-10-18	1
19101945	45	290	7	3	1	0	1	2019-10-19	0
19102046	46	200	2	3	1	1	1	2019-10-20	0
19102126	26	150	2	3	1	0	0	2019-10-21	0
19102227	27	420	6	2	0	0	0	2019-10-22	0
19102321	21	140	5	2	1	0	1	2019-10-23	0
19102445	45	170	7	3	1	0	1	2019-10-24	0
19102502	2	170	1	1	1	1	1	2019-10-25	0
19102608	8	200	9	3	1	0	0	2019-10-26	0
19102701	1	240	1	1	1	0	0	2019-10-27	1
19102846	46	200	2	3	0	1	0	2019-10-28	1
19102914	14	170	1	3	0	1	0	2019-10-29	0
19103030	30	270	3	2	0	1	0	2019-10-30	0
19103129	29	120	9	2	1	1	0	2019-10-31	0
19110146	46	210	2	3	0	1	0	2019-11-01	1
19110217	17	320	3	2	1	0	0	2019-11-02	0
19110339	39	100	1	1	1	1	1	2019-11-03	0
19110412	12	100	8	3	1	0	0	2019-11-04	1
19110522	22	100	5	3	0	1	0	2019-11-05	0
19110635	35	270	7	3	1	0	1	2019-11-06	1
19110803	3	100	2	2	1	0	0	2019-11-08	0
19110944	44	200	8	3	0	0	0	2019-11-09	0
19111025	25	180	5	1	1	1	1	2019-11-10	0
19111237	37	150	2	2	0	1	0	2019-11-12	1
19111305	5	350	9	1	0	1	0	2019-11-13	1
19111446	46	140	2	3	1	1	1	2019-11-14	0
19111538	38	350	7	3	1	0	1	2019-11-15	0
19111604	4	300	2	2	1	1	1	2019-11-16	1
19111743	43	140	4	3	0	0	1	2019-11-17	0
19111843	43	140	4	3	0	0	1	2019-11-18	0
19111927	27	400	6	2	0	1	1	2019-11-19	0
19112020	20	440	8	3	0	1	0	2019-11-20	0
19112122	22	260	5	3	1	1	1	2019-11-21	1
19112218	18	280	8	2	0	0	1	2019-11-22	0
19112326	26	160	2	3	1	1	1	2019-11-23	0
19112411	11	100	7	3	1	1	0	2019-11-24	0
19112541	41	100	7	1	0	0	0	2019-11-25	0
19112624	24	150	9	3	0	0	0	2019-11-26	0
19112701	1	160	1	1	1	0	0	2019-11-27	1
19112809	9	130	5	1	1	0	1	2019-11-28	0
19112906	6	110	5	1	1	1	0	2019-11-29	1
19113043	43	120	4	3	1	1	1	2019-11-30	0
19120136	36	490	1	1	1	0	1	2019-12-01	1
19120202	2	140	1	1	1	0	0	2019-12-02	0
19120337	37	230	2	2	0	0	1	2019-12-03	0
19120426	26	250	2	3	0	0	0	2019-12-04	1
19120520	20	170	8	3	0	1	1	2019-12-05	1
19120612	12	240	8	3	1	0	1	2019-12-06	0
19120736	36	450	1	1	0	1	0	2019-12-07	1
19120827	27	350	6	2	1	1	0	2019-12-08	1
19120923	23	140	6	1	0	1	1	2019-12-09	1
19121018	18	200	8	2	0	1	0	2019-12-10	1
19121142	42	340	3	1	1	0	0	2019-12-11	0
19121203	3	100	2	2	0	1	1	2019-12-12	0
19121310	10	100	9	1	0	0	0	2019-12-13	0
19121405	5	130	9	1	0	1	0	2019-12-14	1
19121543	43	290	4	3	1	0	1	2019-12-15	0
19121637	37	130	2	2	0	1	0	2019-12-16	1
19121746	46	310	2	3	0	1	1	2019-12-17	1
19121807	7	150	10	1	1	0	0	2019-12-18	0
19121940	40	160	4	3	0	1	0	2019-12-19	1
19122014	14	180	1	3	0	1	1	2019-12-20	0
19122108	8	220	9	3	1	1	0	2019-12-21	0
19122341	41	100	7	1	1	0	1	2019-12-23	0
19122402	2	140	1	1	0	1	0	2019-12-24	1
19122537	37	250	2	2	0	1	0	2019-12-25	1
19122603	3	100	2	2	0	1	0	2019-12-26	1
19122740	40	180	4	3	1	0	0	2019-12-27	0
19122836	36	210	1	1	1	1	0	2019-12-28	0
19122928	28	270	3	1	1	1	0	2019-12-29	1
19123040	40	210	4	3	1	1	1	2019-12-30	1
19123110	10	100	9	1	0	0	0	2019-12-31	1
20010102	2	250	1	1	0	0	1	2020-01-01	1
20010239	39	100	1	1	1	1	1	2020-01-02	0
20010327	27	300	6	2	1	0	1	2020-01-03	1
20010442	42	270	3	1	1	0	0	2020-01-04	1
20010537	37	130	2	2	1	0	1	2020-01-05	0
20010601	1	170	1	1	0	1	1	2020-01-06	1
20010727	27	220	6	2	1	1	0	2020-01-07	1
20010840	40	420	4	3	0	0	1	2020-01-08	0
20010903	3	100	2	2	0	1	1	2020-01-09	1
20011018	18	220	8	2	0	0	1	2020-01-10	0
20011120	20	140	8	3	1	1	1	2020-01-11	0
20011226	26	190	2	3	0	0	1	2020-01-12	1
20011320	20	350	8	3	1	1	1	2020-01-13	0
20011406	6	300	5	1	0	0	0	2020-01-14	1
20011515	15	100	9	3	0	0	1	2020-01-15	1
20011606	6	260	5	1	0	0	0	2020-01-16	0
20011708	8	130	9	3	1	0	1	2020-01-17	0
20011822	22	100	5	3	1	0	0	2020-01-18	0
20011918	18	100	8	2	0	0	0	2020-01-19	0
20012024	24	160	9	3	0	0	0	2020-01-20	0
20012223	23	120	6	1	1	1	0	2020-01-22	0
20012337	37	150	2	2	0	1	1	2020-01-23	0
20012408	8	120	9	3	0	1	1	2020-01-24	0
20012528	28	270	3	1	0	0	0	2020-01-25	1
20012605	5	160	9	1	0	1	0	2020-01-26	0
20012705	5	190	9	1	1	1	0	2020-01-27	1
20012808	8	180	9	3	0	1	1	2020-01-28	0
20012935	35	190	7	3	1	1	1	2020-01-29	0
20013024	24	200	9	3	0	1	1	2020-01-30	1
20013116	16	160	5	2	0	0	0	2020-01-31	0
20020131	31	150	9	1	0	1	0	2020-02-01	0
20020239	39	100	1	1	1	1	0	2020-02-02	1
20020318	18	130	8	2	1	0	0	2020-02-03	0
20020430	30	290	3	2	1	0	1	2020-02-04	1
20020510	10	100	9	1	1	1	1	2020-02-05	1
20020611	11	140	7	3	1	1	0	2020-02-06	0
20020724	24	140	9	3	1	1	1	2020-02-07	0
20020802	2	100	1	1	0	1	1	2020-02-08	1
20020926	26	190	2	3	1	1	0	2020-02-09	0
20021024	24	210	9	3	0	0	1	2020-02-10	1
20021104	4	140	2	2	1	1	0	2020-02-11	0
20021216	16	190	5	2	1	0	1	2020-02-12	1
20021345	45	250	7	3	1	0	1	2020-02-13	0
20021406	6	150	5	1	1	1	1	2020-02-14	1
20021540	40	410	4	3	0	1	0	2020-02-15	1
20021626	26	110	2	3	0	1	0	2020-02-16	0
20021715	15	300	9	3	1	0	0	2020-02-17	1
20021827	27	430	6	2	1	1	1	2020-02-18	0
20021914	14	110	1	3	0	0	0	2020-02-19	1
20022006	6	250	5	1	0	1	1	2020-02-20	0
20022111	11	110	7	3	0	1	1	2020-02-21	1
20022213	13	100	9	3	0	1	1	2020-02-22	0
20022338	38	340	7	3	0	1	1	2020-02-23	1
20022417	17	330	3	2	1	0	0	2020-02-24	1
20022511	11	140	7	3	1	0	0	2020-02-25	0
20022633	33	100	5	2	0	1	0	2020-02-26	1
20022709	9	100	5	1	1	0	0	2020-02-27	1
20022828	28	200	3	1	0	1	1	2020-02-28	1
20022910	10	100	9	1	0	0	0	2020-02-29	1
20030138	38	340	7	3	1	1	1	2020-03-01	1
20030218	18	260	8	2	1	0	1	2020-03-02	0
20030320	20	420	8	3	0	0	0	2020-03-03	0
20030431	31	130	9	1	1	0	1	2020-03-04	1
20030533	33	320	5	2	1	0	0	2020-03-05	0
20030607	7	220	10	1	0	1	1	2020-03-06	1
20030731	31	120	9	1	1	1	1	2020-03-07	0
20030836	36	180	1	1	1	0	1	2020-03-08	1
20030906	6	300	5	1	0	0	0	2020-03-09	0
20031043	43	390	4	3	0	0	0	2020-03-10	0
20031130	30	110	3	2	1	0	0	2020-03-11	1
20031216	16	150	5	2	0	1	1	2020-03-12	0
20031301	1	200	1	1	0	0	1	2020-03-13	0
20031418	18	110	8	2	1	1	1	2020-03-14	1
20031514	14	180	1	3	1	0	0	2020-03-15	1
20031618	18	130	8	2	0	0	1	2020-03-16	1
20031713	13	100	9	3	0	0	0	2020-03-17	1
20031806	6	190	5	1	0	0	1	2020-03-18	1
20031903	3	100	2	2	0	1	0	2020-03-19	0
20032008	8	120	9	3	1	1	1	2020-03-20	1
20032139	39	100	1	1	1	1	0	2020-03-21	0
20032227	27	110	6	2	0	0	0	2020-03-22	1
20032339	39	100	1	1	1	0	0	2020-03-23	0
20032443	43	130	4	3	1	1	1	2020-03-24	1
20032535	35	110	7	3	1	0	0	2020-03-25	0
20032609	9	150	5	1	0	0	0	2020-03-26	0
20032736	36	230	1	1	1	0	1	2020-03-27	1
20032826	26	270	2	3	1	1	0	2020-03-28	1
20032938	38	290	7	3	0	0	0	2020-03-29	1
20033017	17	300	3	2	0	0	1	2020-03-30	0
20033117	17	150	3	2	1	0	0	2020-03-31	0
20040123	23	110	6	1	0	1	1	2020-04-01	1
20040229	29	150	9	2	0	0	1	2020-04-02	0
20040328	28	170	3	1	0	1	1	2020-04-03	0
20040426	26	340	2	3	1	1	0	2020-04-04	1
20040546	46	210	2	3	1	1	0	2020-04-05	0
20040618	18	180	8	2	0	0	0	2020-04-06	1
20040744	44	190	8	3	1	1	1	2020-04-07	1
20040825	25	320	5	1	1	0	0	2020-04-08	0
20040932	32	310	10	2	0	1	0	2020-04-09	0
20041022	22	220	5	3	0	1	1	2020-04-10	0
20041136	36	490	1	1	0	0	0	2020-04-11	0
20041236	36	140	1	1	0	1	0	2020-04-12	1
20041341	41	100	7	1	1	0	0	2020-04-13	1
20041401	1	230	1	1	0	1	0	2020-04-14	0
20041519	19	170	5	2	1	1	0	2020-04-15	1
20041625	25	350	5	1	0	0	0	2020-04-16	0
20041713	13	100	9	3	1	0	1	2020-04-17	0
20041829	29	110	9	2	0	1	1	2020-04-18	0
20041911	11	120	7	3	0	1	0	2020-04-19	0
20042032	32	340	10	2	0	1	0	2020-04-20	0
20042134	34	180	3	2	0	0	0	2020-04-21	1
20042214	14	190	1	3	0	1	1	2020-04-22	1
20042342	42	310	3	1	0	0	0	2020-04-23	1
20042411	11	130	7	3	0	1	0	2020-04-24	0
20042544	44	190	8	3	1	1	0	2020-04-25	1
20042613	13	100	9	3	1	0	1	2020-04-26	0
20042742	42	240	3	1	1	1	1	2020-04-27	1
20042802	2	100	1	1	0	0	1	2020-04-28	1
20042907	7	130	10	1	1	1	0	2020-04-29	1
20043028	28	300	3	1	1	1	1	2020-04-30	0
20050123	23	150	6	1	0	0	0	2020-05-01	0
20050235	35	180	7	3	1	1	0	2020-05-02	0
20050312	12	310	8	3	1	0	0	2020-05-03	1
20050409	9	140	5	1	1	0	0	2020-05-04	0
20050504	4	110	2	2	0	0	1	2020-05-05	1
20050640	40	380	4	3	0	0	1	2020-05-06	1
20050740	40	150	4	3	0	0	1	2020-05-07	0
20050839	39	100	1	1	0	0	0	2020-05-08	1
20050917	17	340	3	2	1	1	1	2020-05-09	1
20051037	37	100	2	2	0	0	1	2020-05-10	0
20051108	8	240	9	3	0	0	1	2020-05-11	0
19091314	14	150	1	3	1	0	0	2019-09-13	0
19091418	18	230	8	2	1	1	1	2019-09-14	1
19091533	33	250	5	2	0	1	1	2019-09-15	1
19091614	14	180	1	3	0	1	0	2019-09-16	0
19091741	41	100	7	1	0	0	1	2019-09-17	0
19091815	15	210	9	3	0	0	0	2019-09-18	1
19091939	39	100	1	1	0	1	0	2019-09-19	1
19092037	37	240	2	2	1	1	1	2019-09-20	0
19092143	43	360	4	3	0	0	1	2019-09-21	1
19092203	3	100	2	2	1	0	0	2019-09-22	1
19092325	25	350	5	1	1	0	0	2019-09-23	0
19092423	23	150	6	1	1	1	0	2019-09-24	1
19092514	14	170	1	3	0	1	1	2019-09-25	1
19092618	18	140	8	2	1	0	0	2019-09-26	0
19092712	12	130	8	3	0	1	1	2019-09-27	0
19092822	22	140	5	3	1	1	0	2019-09-28	0
19092938	38	200	7	3	0	1	1	2019-09-29	1
19093012	12	230	8	3	1	1	0	2019-09-30	1
19100113	13	100	9	3	1	0	0	2019-10-01	0
19100232	32	310	10	2	0	1	1	2019-10-02	1
19100331	31	150	9	1	1	0	1	2019-10-03	1
19100407	7	190	10	1	1	1	1	2019-10-04	0
19100530	30	280	3	2	1	1	1	2019-10-05	1
19100620	20	350	8	3	0	0	1	2019-10-06	0
19100713	13	100	9	3	1	1	1	2019-10-07	1
19100825	25	210	5	1	1	0	1	2019-10-08	1
19100931	31	150	9	1	1	1	1	2019-10-09	0
19101046	46	350	2	3	1	1	0	2019-10-10	0
19101109	9	100	5	1	1	1	1	2019-10-11	1
19101218	18	250	8	2	0	1	1	2019-10-12	0
19101304	4	380	2	2	0	1	1	2019-10-13	1
19101404	4	350	2	2	0	1	1	2019-10-14	0
19101537	37	190	2	2	1	1	0	2019-10-15	0
19101619	19	150	5	2	0	1	1	2019-10-16	0
19101730	30	100	3	2	0	1	1	2019-10-17	1
19101805	5	100	9	1	1	1	0	2019-10-18	1
19101940	40	140	4	3	0	0	0	2019-10-19	0
19102022	22	140	5	3	1	0	0	2019-10-20	1
19102127	27	360	6	2	0	0	1	2019-10-21	0
19102229	29	140	9	2	1	1	1	2019-10-22	1
19102342	42	120	3	1	1	0	1	2019-10-23	1
19102413	13	100	9	3	0	1	0	2019-10-24	1
19102544	44	120	8	3	0	1	0	2019-10-25	0
19102637	37	220	2	2	1	0	0	2019-10-26	0
19102739	39	100	1	1	1	0	1	2019-10-27	0
19102837	37	140	2	2	0	1	1	2019-10-28	1
19102931	31	130	9	1	0	1	1	2019-10-29	0
19103043	43	220	4	3	1	1	1	2019-10-30	1
19103132	32	130	10	2	1	1	0	2019-10-31	1
19110245	45	280	7	3	1	1	0	2019-11-02	1
19110303	3	100	2	2	0	1	1	2019-11-03	1
19110431	31	140	9	1	1	1	1	2019-11-04	0
19110510	10	100	9	1	0	1	1	2019-11-05	1
19110618	18	250	8	2	0	1	0	2019-11-06	1
19110740	40	150	4	3	0	1	0	2019-11-07	1
19110816	16	200	5	2	0	1	0	2019-11-08	1
19110927	27	340	6	2	0	1	0	2019-11-09	0
19111042	42	300	3	1	0	1	1	2019-11-10	1
19111107	7	140	10	1	0	0	0	2019-11-11	1
19111220	20	350	8	3	1	1	1	2019-11-12	1
19111325	25	240	5	1	0	0	0	2019-11-13	0
19111414	14	130	1	3	1	0	1	2019-11-14	0
19111505	5	300	9	1	1	1	1	2019-11-15	1
19111618	18	240	8	2	0	0	0	2019-11-16	1
19111745	45	120	7	3	1	1	1	2019-11-17	1
19111842	42	110	3	1	0	0	1	2019-11-18	0
19111903	3	100	2	2	1	1	1	2019-11-19	1
19112023	23	120	6	1	0	1	0	2019-11-20	0
19112104	4	270	2	2	0	1	1	2019-11-21	0
19112223	23	110	6	1	0	0	0	2019-11-22	0
19112301	1	170	1	1	1	0	1	2019-11-23	0
19112432	32	310	10	2	0	1	1	2019-11-24	0
19112507	7	130	10	1	1	1	1	2019-11-25	1
19112636	36	420	1	1	0	0	1	2019-11-26	1
19112739	39	100	1	1	0	1	1	2019-11-27	0
19112839	39	100	1	1	1	0	1	2019-11-28	0
19112917	17	300	3	2	1	0	0	2019-11-29	0
19113015	15	130	9	3	0	0	0	2019-11-30	1
19120128	28	110	3	1	0	0	1	2019-12-01	1
19120230	30	230	3	2	0	0	1	2019-12-02	1
19120331	31	110	9	1	0	1	1	2019-12-03	1
19120435	35	350	7	3	1	0	1	2019-12-04	0
19120524	24	220	9	3	0	0	1	2019-12-05	1
19120639	39	100	1	1	1	1	1	2019-12-06	0
19120719	19	210	5	2	0	1	0	2019-12-07	0
19120807	7	190	10	1	1	0	1	2019-12-08	1
19120926	26	320	2	3	1	1	1	2019-12-09	0
19121001	1	220	1	1	1	1	1	2019-12-10	0
